Drug (Proper Name),Brand Name(s),Disease / Indication,Disease Category,Drug Target (Gene),Dose,Frequency,Duration of Use
mirikizumab,Omvoh,Ulcerative colitis,Autoimmune – Gastroenterology,IL23A,"300 mg IV ×3 (q4w induction), then 200 mg SC",Every 4 weeks,Indefinite
dupilumab,Dupixent,Moderate-to-severe asthma,Autoimmune – Pulmonology,IL4R,200 or 300 mg SC (dose by eosinophil/OCS status),Every 2 weeks,Indefinite
dupilumab,Dupixent,CRSwNP (chronic rhinosinusitis with nasal polyps),Autoimmune – Pulmonology,IL4R,300 mg SC,Every 2 weeks,Indefinite
dupilumab,Dupixent,Eosinophilic esophagitis (EoE),Autoimmune – Gastroenterology,IL4R,300 mg SC,Once weekly,Indefinite
dupilumab,Dupixent,COPD with type-2 inflammation (eosinophilic),Autoimmune – Pulmonology,IL4R,300 mg SC,Every 2 weeks,Indefinite
omalizumab,Xolair,Moderate-to-severe allergic asthma,Autoimmune – Pulmonology,IGHE,75–375 mg SC (IgE- and weight-based),Every 2–4 weeks,Indefinite
omalizumab,Xolair,Chronic spontaneous urticaria,Autoimmune – Dermatology,IGHE,150 or 300 mg SC,Every 4 weeks,Indefinite (while disease is active)
omalizumab,Xolair,Nasal polyps / CRSwNP,Autoimmune – Pulmonology,IGHE,75–600 mg SC (IgE/weight-based),Every 2–4 weeks,Indefinite
omalizumab,Xolair,IgE-mediated food allergy (multi-food),Allergy / Immunology,IGHE,75–600 mg SC (IgE/weight-based),Every 2–4 weeks,Indefinite (ongoing protection)
mepolizumab,Nucala,Severe eosinophilic asthma,Autoimmune – Pulmonology,IL5,100 mg SC,Every 4 weeks,Indefinite
mepolizumab,Nucala,EGPA (eosinophilic granulomatosis with polyangiitis),Autoimmune – Rheumatology,IL5,300 mg SC (3 × 100 mg),Every 4 weeks,Indefinite
mepolizumab,Nucala,Hypereosinophilic syndrome (HES),Hematology – Rare Blood,IL5,300 mg SC (3 × 100 mg),Every 4 weeks,Indefinite
mepolizumab,Nucala,CRSwNP,Autoimmune – Pulmonology,IL5,100 mg SC,Every 4 weeks,Indefinite
benralizumab,Fasenra,Severe eosinophilic asthma,Autoimmune – Pulmonology,IL5RA,30 mg SC q4w ×3 doses (induction),Every 8 weeks (maintenance),Indefinite
tezepelumab,Tezspire,Severe asthma (uncontrolled),Autoimmune – Pulmonology,TSLP,210 mg SC,Every 4 weeks,Indefinite
depemokimab,Nuraev (Asthma) / Nucala Ultra,Severe eosinophilic asthma / EGPA,Autoimmune – Pulmonology,IL5,100 mg SC,Every 6 months,Indefinite (longest-acting IL-5 inhibitor)
peanut (arachis hypogaea) allergen powder,Palforzia,Peanut allergy (desensitization),Allergy / Immunology,"FCER1A, IL4R",Gradual oral up-titration to 300 mg/day maintenance,Daily oral dosing,≥3 years (lifelong maintenance while on therapy)
short ragweed pollen allergen extract,Grastek / Ragwitek,Ragweed allergic rhinitis,Allergy / Immunology,"FCER1A, IL4R",1 tablet (6 Amb a 1-U) sublingual daily,Daily,3–5 years (standard SLIT course)
ofatumumab,Kesimpta,Relapsing multiple sclerosis,Neurology – Demyelinating,MS4A1,"20 mg SC at wk 0, 1, 2; then 20 mg",Every 4 weeks,Indefinite
natalizumab-sztn,Tysabri,Relapsing multiple sclerosis,Neurology – Demyelinating,ITGA4,300 mg IV,Every 4 weeks,Indefinite (JC virus monitoring required)
natalizumab-sztn,Tysabri,Crohn's disease,Autoimmune – Gastroenterology,ITGA4,300 mg IV,Every 4 weeks,Indefinite
ocrelizumab and hyaluronidase-ocsq,Ocrevus / Ocrevus Zunovo,Relapsing MS,Neurology – Demyelinating,MS4A1,600 mg IV or 920 mg SC,Every 6 months,Indefinite
ocrelizumab and hyaluronidase-ocsq,Ocrevus / Ocrevus Zunovo,Primary progressive MS (PPMS),Neurology – Demyelinating,MS4A1,600 mg IV or 920 mg SC,Every 6 months,Indefinite
ublituximab-xiiy,Briumvi,Relapsing multiple sclerosis,Neurology – Demyelinating,MS4A1,150 mg IV then 450 mg IV,Every 6 months,Indefinite
satralizumab-mwge,Enspryng,NMOSD (AQP4-IgG+),Neurology – Demyelinating,IL6R,"120 mg SC at wk 0, 2, 4; then 120 mg",Every 4 weeks,Indefinite
inebilizumab-cdon,Uplizna,NMOSD,Neurology – Demyelinating,CD19,300 mg IV ×2 doses (2 wks apart induction),300 mg every 6 months,Indefinite
efgartigimod alfa-fcab,Vyvgart,Generalized myasthenia gravis (gMG),Neurology – Neuromuscular,FCGRT,10 mg/kg IV weekly ×4 doses per cycle,Repeat cycles every 4–8 weeks based on response,Indefinite cycling
efgartigimod alfa and hyaluronidase,Vyvgart Hytrulo,Generalized myasthenia gravis,Neurology – Neuromuscular,FCGRT,"1000 mg/11,250 U SC weekly ×4 per cycle",Repeat cycles every 4–8 weeks,Indefinite
rozanolixizumab,Rystiggo,Generalized myasthenia gravis,Neurology – Neuromuscular,FCGRT,7 mg/kg SC weekly ×6 weeks per cycle,Repeat cycles as needed,Indefinite
nipocalimab,Imaavy,Generalized myasthenia gravis,Neurology – Neuromuscular,FCGRT,30 mg/kg IV loading; then 15 mg/kg,Every 2 weeks,Indefinite
anifrolumab,Saphnelo,Systemic lupus erythematosus (SLE),Autoimmune – Rheumatology,IFNAR1,300 mg IV,Every 4 weeks,Indefinite
axatilimab-csfr,Niktimvo,Chronic graft-versus-host disease (cGVHD),Hematology – Rare Blood,CSF1R,0.3 mg/kg IV,Every 2 weeks,Indefinite (while cGVHD persists)
sibeprenlimab-szsi,Vrumvit,IgA nephropathy (IgAN),Nephrology,TNFSF13,3 mg/kg SC,Every 4 weeks,Indefinite (progressive disease)
ropeginterferon alfa-2b-njft,Besremi,Polycythemia vera (PV),Hematology – Myeloproliferative,"IFNAR1, IFNAR2",100–500 mcg SC (titrated),Every 2 weeks,Indefinite
eculizumab,Soliris,Paroxysmal nocturnal hemoglobinuria (PNH),Hematology – Complement,C5,600 mg IV q7d ×4; 900 mg at wk 5; then 900 mg,Every 14 days,Lifelong
eculizumab,Soliris,Atypical hemolytic uremic syndrome (aHUS),Hematology – Complement,C5,900 mg IV q7d ×4; 1200 mg at wk 5; then 1200 mg,Every 14 days,Lifelong (or until sustained remission)
eculizumab,Soliris,Generalized myasthenia gravis (refractory),Neurology – Neuromuscular,C5,900 mg IV q7d ×4; 1200 mg at wk 5; then 1200 mg,Every 14 days,Indefinite
eculizumab,Soliris,NMOSD (AQP4-IgG+),Neurology – Demyelinating,C5,900 mg IV q7d ×4; 1200 mg at wk 5; then 1200 mg,Every 2 weeks,Indefinite
ravulizumab,Ultomiris,Paroxysmal nocturnal hemoglobinuria (PNH),Hematology – Complement,C5,2400–3000 mg IV (weight-based loading); then 3000 mg,Every 8 weeks,Lifelong
ravulizumab,Ultomiris,Atypical HUS (aHUS),Hematology – Complement,C5,2400–3000 mg IV (loading); then 3000 mg,Every 8 weeks,Lifelong
ravulizumab,Ultomiris,Generalized myasthenia gravis,Neurology – Neuromuscular,C5,2700–3000 mg IV (loading); then 3000 mg,Every 8 weeks,Indefinite
ravulizumab,Ultomiris,NMOSD,Neurology – Demyelinating,C5,2700–3000 mg IV (loading); then 3000 mg,Every 8 weeks,Indefinite
crovalimab-akkz,Piasky,Paroxysmal nocturnal hemoglobinuria (PNH),Hematology – Complement,C5,341 mg IV ×1; 170 mg SC ×4 weekly; then 340 mg SC,Every 4 weeks,Lifelong
sutimlimab-jome,Enjaymo,Cold agglutinin disease (CAD),Hematology – Complement,C1S,6500 mg (<75 kg) or 7500 mg (≥75 kg) IV,Every 2 weeks,Indefinite
pozelimab-bbfg,Veopoz,CHAPLE disease (CD55 deficiency),Hematology – Complement,C5,30 mg/kg IV loading; then 12 mg/kg SC,Once weekly,Lifelong (ultra-rare)
emicizumab,Hemlibra,Hemophilia A with inhibitors (prophylaxis),Hematology – Hemophilia,"F9, F10",3 mg/kg SC q1w ×4 (loading); then 1.5 mg/kg q1w,Weekly (or 3 mg/kg q2w or 6 mg/kg q4w),Lifelong
emicizumab,Hemlibra,Hemophilia A without inhibitors (prophylaxis),Hematology – Hemophilia,"F9, F10",Same loading/maintenance dosing as above,Weekly / biweekly / monthly options,Lifelong
concizumab,Alhemo,Hemophilia A or B with inhibitors,Hematology – Hemophilia,TFPI,0.2 mg/kg SC daily,Once daily,Lifelong
marstacimab,Marstacimab (trade name pending),Hemophilia A / B (with or without inhibitors),Hematology – Hemophilia,TFPI,~300 mg SC loading; then 150–300 mg,Weekly,Lifelong
"antihemophilic factor (recombinant), rAHF",Advate / Kogenate / Kovaltry,Hemophilia A (prophylaxis),Hematology – Hemophilia,F8,20–40 IU/kg IV,Every 2–3 days,Lifelong
"antihemophilic factor (recombinant), fc",Eloctate / Elocta,"Hemophilia A (prophylaxis, extended half-life)",Hematology – Hemophilia,F8,25–65 IU/kg IV,Every 3–5 days,Lifelong
"antihemophilic factor (recombinant), pegylated-aucl",Adynovate / Jivi,Hemophilia A (prophylaxis),Hematology – Hemophilia,F8,40–60 IU/kg IV,Twice weekly,Lifelong
"coagulation factor ix (recombinant), glycopegylated",Rebinyn / Refixia,Hemophilia B (prophylaxis),Hematology – Hemophilia,F9,40 IU/kg IV,Once weekly,Lifelong
coagulation factor viia (recombinant),Sevenfact / NovoSeven,Hemophilia A/B with inhibitors (prophylaxis),Hematology – Hemophilia,F7,90 mcg/kg IV q2h until hemostasis (acute); prophylaxis varies,Per bleed (on-demand); prophylaxis daily/twice weekly,Lifelong (on-demand or prophylaxis)
coagulation factor viia (recombinant)-jncw,Alhemo / Pfizer rFVIIa,Hemophilia A/B with inhibitors,Hematology – Hemophilia,F7,Varies by indication,Daily to weekly SC (prophylaxis),Lifelong
lanadelumab,Takhzyro,Hereditary angioedema (HAE) – attack prevention,Rare / Orphan – Immunology,KLKB1,300 mg SC,Every 2 weeks (may extend to q4w after 6 months),Indefinite
garadacimab,Garadacimab (trade name TBD),Hereditary angioedema (HAE) prevention,Rare / Orphan – Immunology,F12,200 mg SC,Once monthly,Indefinite
ranibizumab,Lucentis,Neovascular (wet) AMD,Ophthalmology,VEGFA,0.5 mg intravitreal injection,Monthly (treat-and-extend after stabilization),Indefinite
ranibizumab,Lucentis,Diabetic macular edema (DME),Ophthalmology,VEGFA,0.3 mg intravitreal injection,Monthly (or PRN),Indefinite (while active)
ranibizumab,Lucentis,Retinal vein occlusion (BRVO / CRVO),Ophthalmology,VEGFA,0.5 mg intravitreal injection,"Monthly ×6, then PRN",Indefinite (chronic/recurrent)
ranibizumab,Lucentis,Diabetic retinopathy,Ophthalmology,VEGFA,0.3 mg intravitreal injection,Monthly,Indefinite
brolucizumab-dbll,Beovu,Neovascular (wet) AMD,Ophthalmology,VEGFA,6 mg intravitreal injection (monthly ×3 loading),Every 8–12 weeks (T&E),Indefinite
brolucizumab-dbll,Beovu,Diabetic macular edema (DME),Ophthalmology,VEGFA,6 mg intravitreal injection (monthly ×6 loading),Every 8–12 weeks (T&E),Indefinite
aflibercept,Eylea / Eylea HD,Neovascular (wet) AMD,Ophthalmology,"VEGFA, PGF",2 mg intravitreal (monthly ×3); or 8 mg monthly ×4 (HD),Every 8 weeks (standard) / up to every 16 weeks (HD T&E),Indefinite
aflibercept,Eylea / Eylea HD,Diabetic macular edema (DME),Ophthalmology,"VEGFA, PGF","2 mg intravitreal monthly ×5, then q8w",Every 8 weeks,Indefinite
aflibercept,Eylea / Eylea HD,Macular edema from retinal vein occlusion (RVO),Ophthalmology,"VEGFA, PGF","2 mg intravitreal monthly ×6, then PRN",Monthly / PRN,Indefinite
aflibercept,Eylea,Diabetic retinopathy (all DR),Ophthalmology,"VEGFA, PGF",2 mg intravitreal monthly ×5,Every 8 weeks,Indefinite
faricimab,Vabysmo,Neovascular (wet) AMD,Ophthalmology,"VEGFA, ANGPT2",6 mg intravitreal monthly ×4 (loading),Up to every 16 weeks (treat-and-extend),Indefinite
faricimab,Vabysmo,Diabetic macular edema (DME),Ophthalmology,"VEGFA, ANGPT2",6 mg intravitreal monthly ×4 (loading),Up to every 16 weeks (T&E),Indefinite
insulin lispro,Humalog / Admelog / Lyumjev,Type 1 diabetes mellitus,Endocrinology – Diabetes,INSR,0.5–1 IU/kg/day total; mealtime dose ~0.1–0.2 IU/kg,Multiple daily injections (or continuous pump),Lifelong
insulin lispro,Humalog / Admelog,Type 2 diabetes mellitus,Endocrinology – Diabetes,INSR,"4–10 IU per meal (initial), titrate","With meals, as prescribed",Lifelong (or while required)
insulin glargine,Lantus / Toujeo / Basaglar,Type 1 diabetes mellitus,Endocrinology – Diabetes,INSR,0.2–0.4 IU/kg SC once daily,"Once daily (any time, consistent)",Lifelong
insulin glargine,Lantus / Toujeo,Type 2 diabetes mellitus,Endocrinology – Diabetes,INSR,0.2 IU/kg once daily (starting); titrate to FBG target,Once daily,Lifelong
insulin aspart,NovoLog / NovoRapid / Fiasp,Type 1 diabetes mellitus,Endocrinology – Diabetes,INSR,~5–10 IU per meal or per 15 g carbohydrate (individualized),Before each meal,Lifelong
insulin aspart,NovoLog / Fiasp,Type 2 diabetes mellitus,Endocrinology – Diabetes,INSR,"4–10 IU per meal (starting), titrate",With meals,Lifelong (or while required)
insulin icodec,Awiqli,Type 2 diabetes mellitus,Endocrinology – Diabetes,INSR,~70% of total daily insulin dose equivalent SC,Once weekly,Lifelong
dulaglutide,Trulicity,Type 2 diabetes mellitus,Endocrinology – Diabetes,GLP1R,0.75 mg SC (starting); up to 4.5 mg weekly,Once weekly,Indefinite
dulaglutide,Trulicity,Cardiovascular risk reduction (T2DM with CVD),Endocrinology – Diabetes,GLP1R,0.75–1.5 mg SC weekly,Once weekly,Indefinite
somapacitan,Sogroya,Adult growth hormone deficiency (AGHD),Endocrinology – Growth,GHR,"1.5–8 mg SC (individualized, titrate)",Once weekly,Indefinite (adult GHD)
somapacitan,Sogroya,Pediatric growth hormone deficiency,Endocrinology – Growth,GHR,0.16 mg/kg SC weekly (titrate),Once weekly,Until adequate adult height
lonapegsomatropin,Skytrofa,Pediatric growth hormone deficiency,Endocrinology – Growth,GHR,0.24 mg/kg SC,Once weekly,Until adequate adult height (years)
somatrogon,Ngenla,Pediatric growth hormone deficiency,Endocrinology – Growth,GHR,0.66 mg/kg SC,Once weekly,Until adequate adult height (years)
tesamorelin,Egrifta WR,HIV-associated lipodystrophy (abdominal fat excess),Endocrinology – Metabolic,GHRHR,2 mg SC,Once daily,Indefinite (fat accumulates on discontinuation)
evinacumab,Evkeeza,Homozygous familial hypercholesterolemia (HoFH),Endocrinology – Lipid,ANGPTL3,15 mg/kg IV,Every 4 weeks,Indefinite
lerodalcibep-liga,Lerodalcibep (Lepodisiran/approved name),LDL-C reduction (HeFH / ASCVD),Endocrinology – Lipid,PCSK9,300 mg SC,Once monthly,Indefinite
denosumab,Prolia,Postmenopausal osteoporosis,Bone / Metabolic,TNFSF11,60 mg SC,Every 6 months,Indefinite (rebound fracture risk if stopped without follow-on therapy)
denosumab,Prolia,Glucocorticoid-induced osteoporosis,Bone / Metabolic,TNFSF11,60 mg SC,Every 6 months,Indefinite while on glucocorticoids
denosumab,Prolia,Osteoporosis in men at high fracture risk,Bone / Metabolic,TNFSF11,60 mg SC,Every 6 months,Indefinite
epoetin alfa,Epogen / Procrit,Anemia of chronic kidney disease (dialysis),Hematology – Anemia,EPOR,50–300 IU/kg IV/SC,3 times per week,Indefinite (until transplant or change in therapy)
epoetin alfa,Epogen / Procrit,Anemia of CKD (non-dialysis),Hematology – Anemia,EPOR,50–200 IU/kg SC,3 times per week,Indefinite
filgrastim,Neupogen / Granix,Severe chronic neutropenia (SCN),Hematology – Rare Blood,CSF3R,6–12 mcg/kg SC daily,Daily,Lifelong (congenital neutropenia)
lecanemab,Leqembi,Early Alzheimer's disease (mild cognitive impairment / mild AD),Neurology – Neurodegeneration,APP,10 mg/kg IV,Every 2 weeks,Indefinite (ongoing amyloid clearance and monitoring)
aducanumab,Aduhelm,Early Alzheimer's disease,Neurology – Neurodegeneration,APP,1–10 mg/kg IV (titrating protocol over ~6 months),Every 4 weeks,Indefinite
donanemab-azbt,Kisunla,Early symptomatic Alzheimer's disease,Neurology – Neurodegeneration,APP,700 mg IV q4w ×3 doses; then 1400 mg IV,Every 4 weeks,Until amyloid plaque clearance (~12–18 months); may discontinue after clearance
eptinezumab-jjmr,Vyepti,Episodic migraine prevention,Neurology – Pain / Headache,CALCA,100 mg IV (or 300 mg in high-frequency),Every 3 months,Indefinite (migraine is chronic)
eptinezumab-jjmr,Vyepti,Chronic migraine prevention,Neurology – Pain / Headache,CALCA,100–300 mg IV,Every 3 months,Indefinite
sotatercept,Winrevair,Pulmonary arterial hypertension (PAH) – WHO Group I,Cardiovascular / Pulmonary,INHBA,0.3 mg/kg SC (titrate up to 0.7 mg/kg),Every 3 weeks,Indefinite (progressive disease)
sacrosidase,Sucraid,Congenital sucrase-isomaltase deficiency (CSID),Enzyme Deficiency,SI,1–2 mL (8500 IU/mL) per meal (weight-adjusted),With every meal,Lifelong
pancrelipase,Creon / Zenpep / Pancreaze,Exocrine pancreatic insufficiency (EPI),Enzyme Deficiency,PNLIP,500–2500 lipase IU/kg per meal (individualized),With every meal and snack,Lifelong
pegunigalsidase alfa,Elfabrio,Fabry disease,Enzyme Deficiency,GLA,1 mg/kg IV,Every 2 weeks,Lifelong
velmanase alfa-tycv,Lamzede,Alpha-mannosidosis,Enzyme Deficiency,MAN2B1,1 IU/kg IV,Every 2 weeks,Lifelong
olipudase alfa,Xenpozyme,Acid sphingomyelinase deficiency (ASMD / NPD-A/B),Enzyme Deficiency,SMPD1,3 mg/kg IV,Every 2 weeks,Lifelong
avalglucosidase alfa-ngpt,Nexviazyme,Late-onset Pompe disease (LOPD),Enzyme Deficiency,GAA,20 mg/kg IV,Every 2 weeks,Lifelong
cipaglucosidase alfa-atga,Pombiliti,Late-onset Pompe disease (+miglustat),Enzyme Deficiency,GAA,20 mg/kg IV (+ 260 mg oral miglustat 1h prior),Every 2 weeks,Lifelong
tividenofusp alfa-eknm,Avlayah,MPS II (Hunter syndrome),Enzyme Deficiency,IDS,3 mg/kg IV,Once weekly,Lifelong
